day,month,year,1,2,3,numbers
24,4,2020,2,4,1,241
23,4,2020,9,2,5,925
17,3,2020,5,3,3,533
16,3,2020,0,6,8,68
15,3,2020,1,9,4,194
14,3,2020,0,2,2,22
13,3,2020,1,8,1,181
3,12,2020,4,9,5,495
3,11,2020,3,4,7,347
3,10,2020,7,7,1,771
3,9,2020,2,9,9,299
3,8,2020,6,6,5,665
3,7,2020,4,1,3,413
3,6,2020,2,9,8,298
3,5,2020,4,8,3,483
3,4,2020,4,2,2,422
3,3,2020,7,9,2,792
3,2,2020,7,4,5,745
3,1,2020,7,3,3,733
29,2,2020,5,2,6,526
28,2,2020,3,6,5,365
27,2,2020,7,7,1,771
26,2,2020,5,6,3,563
25,2,2020,7,7,1,771
24,2,2020,9,4,5,945
23,2,2020,4,9,0,490
22,2,2020,6,6,0,660
21,2,2020,5,2,8,528
20,2,2020,2,1,5,215
19,2,2020,4,0,4,404
18,2,2020,0,8,5,85
17,2,2020,1,3,3,133
16,2,2020,1,8,9,189
15,2,2020,1,8,2,182
14,2,2020,4,0,0,400
13,2,2020,4,9,5,495
2,12,2020,7,9,3,793
2,11,2020,3,6,5,365
2,10,2020,2,4,4,244
2,9,2020,0,3,2,32
2,8,2020,5,0,5,505
2,7,2020,2,2,0,220
2,6,2020,6,8,8,688
2,5,2020,1,6,6,166
2,4,2020,5,0,9,509
2,3,2020,8,1,1,811
2,2,2020,0,1,5,15
2,1,2020,2,3,8,238
31,1,2020,0,9,2,92
30,1,2020,4,5,8,458
29,1,2020,1,1,2,112
28,1,2020,0,5,0,50
27,1,2020,0,9,1,91
26,1,2020,3,4,2,342
25,1,2020,8,2,4,824
24,1,2020,4,8,1,481
23,1,2020,2,5,1,251
22,1,2020,5,1,7,517
21,1,2020,5,8,0,580
20,1,2020,9,4,6,946
19,1,2020,7,4,9,749
18,1,2020,0,5,2,52
17,1,2020,2,1,0,210
16,1,2020,0,9,8,98
15,1,2020,6,3,0,630
14,1,2020,6,6,2,662
13,1,2020,4,2,1,421
1,12,2020,3,5,8,358
1,11,2020,4,7,4,474
1,10,2020,5,6,2,562
1,9,2020,6,8,2,682
1,8,2020,2,6,2,262
1,7,2020,0,2,6,26
1,6,2020,3,5,2,352
1,5,2020,4,1,4,414
1,4,2020,0,5,3,53
1,3,2020,1,1,5,115
1,2,2020,0,5,5,55
1,1,2020,2,5,9,259
31,12,2019,2,0,7,207
30,12,2019,7,9,5,795
29,12,2019,7,3,6,736
28,12,2019,9,8,8,988
27,12,2019,8,0,0,800
26,12,2019,4,0,0,400
25,12,2019,8,7,5,875
24,12,2019,9,9,8,998
23,12,2019,0,1,0,10
22,12,2019,7,0,5,705
21,12,2019,7,9,9,799
20,12,2019,7,3,7,737
19,12,2019,3,7,2,372
18,12,2019,7,2,9,729
17,12,2019,5,7,2,572
16,12,2019,2,8,7,287
15,12,2019,8,1,1,811
14,12,2019,7,7,2,772
13,12,2019,0,3,6,36
12,12,2019,6,8,8,688
12,11,2019,5,9,3,593
